DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2015,4114,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2016,3868,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2017,4271,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2018,4535,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2019,4924,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2020,2820,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FI,2021,2903,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2010,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2011,,c
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2012,91205,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2013,90485,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2014,89499,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2015,91377,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2016,91832,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2017,95024,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2018,91818,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2019,96540,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2020,56606,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,FR,2021,75854,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2010,1711,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2011,1457,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2012,1080,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2013,935,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2014,917,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2015,941,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2016,827,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2017,736,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2018,747,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2019,724,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2020,448,
ESTAT:RAIL_PA_TOTAL(1.0),21/12/22 23:00:00,A,MIO_PKM,HR,2021,538,
